book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
140,6892870,6892870,12883496,193,030726999X,9780307270000.0,"Stieg Larsson, Reg Keeland",2007.0,Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US,4.2,443951,526791,26766,3823,14773,78387,203297,226511,https://images.gr-assets.com/books/1327708260m/6892870.jpg,https://images.gr-assets.com/books/1327708260s/6892870.jpg
145,976,976,3135896,180,671027387,9780671027380.0,Dan Brown,2001.0,Deception Point,Deception Point,eng,3.67,455610,479733,7798,14380,45006,143182,160819,116346,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
170,11125,11125,40195,185,552151696,9780552151700.0,Dan Brown,1998.0,Digital Fortress,Digital Fortress,en-GB,3.6,423019,447503,7538,16592,47507,136196,144029,103179,https://images.gr-assets.com/books/1360095966m/11125.jpg,https://images.gr-assets.com/books/1360095966s/11125.jpg
197,301082,301082,479517,109,441008534,9780441008540.0,Charlaine Harris,2001.0,Dead Until Dark,"Dead Until Dark (Sookie Stackhouse, #1)",en-US,3.96,420764,444824,16818,11330,25781,96290,148326,163097,https://images.gr-assets.com/books/1468560853m/301082.jpg,https://images.gr-assets.com/books/1468560853s/301082.jpg
200,16299,16299,3038872,474,312330871,9780312330870.0,Agatha Christie,1939.0,Ten Little Niggers,And Then There Were None,eng,4.23,408983,456680,17264,6134,12476,66243,156306,215521,https://images.gr-assets.com/books/1391120695m/16299.jpg,https://images.gr-assets.com/books/1391120695s/16299.jpg
201,6411961,6411961,6600281,208,385504225,9780385504220.0,Dan Brown,2009.0,The Lost Symbol,"The Lost Symbol (Robert Langdon, #3)",eng,3.66,369428,404982,24199,11293,40545,120122,136545,96477,https://images.gr-assets.com/books/1358274396m/6411961.jpg,https://images.gr-assets.com/books/1358274396s/6411961.jpg
207,6853,6853,1486401,109,312362080,9780312362090.0,Janet Evanovich,1994.0,One for the Money,"One for the Money (Stephanie Plum, #1)",en-US,4.03,391007,403315,13050,9176,19657,80319,133454,160709,https://images.gr-assets.com/books/1316730230m/6853.jpg,https://images.gr-assets.com/books/1316730230s/6853.jpg
209,23807,23807,22533,187,99446782,9780099446780.0,Thomas Harris,1988.0,The Silence of the Lambs,"The Silence of the Lambs  (Hannibal Lecter, #2)",eng,4.14,351107,366112,3866,10268,12845,55427,123652,163920,https://images.gr-assets.com/books/1390426249m/23807.jpg,https://images.gr-assets.com/books/1390426249s/23807.jpg
222,7869,7869,859111,143,752864327,9780752864330.0,Robert Ludlum,1980.0,The Bourne Identity,"The Bourne Identity (Jason Bourne, #1)",eng,3.98,327122,336212,3899,10266,17695,65161,118463,124627,https://images.gr-assets.com/books/1335860740m/7869.jpg,https://images.gr-assets.com/books/1335860740s/7869.jpg
226,5886881,5886881,6873353,131,307341569,9780307341560.0,Gillian Flynn,2009.0,Dark Places,Dark Places,eng,3.92,333452,386607,28784,5169,17975,89242,165108,109113,https://images.gr-assets.com/books/1354988288m/5886881.jpg,https://images.gr-assets.com/books/1354988288s/5886881.jpg
227,5359,5359,137715,134,385339089,9780385339090.0,John Grisham,1993.0,The Client,The Client,eng,3.97,320083,325663,1917,2530,12566,79176,129019,102372,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
235,17802724,17802724,23986788,95,399159347,9780399159340.0,Liane Moriarty,2013.0,The Husband's Secret ,The Husband's Secret,eng,3.92,232106,351805,27610,4175,15649,80869,155945,95167,https://images.gr-assets.com/books/1460577225m/17802724.jpg,https://images.gr-assets.com/books/1460577225s/17802724.jpg
240,17212231,17212231,23841765,235,385537859,9780385537860.0,Dan Brown,2013.0,Inferno,"Inferno (Robert Langdon, #4)",eng,3.8,287533,345560,33700,7261,26077,89237,128374,94611,https://images.gr-assets.com/books/1397093185m/17212231.jpg,https://images.gr-assets.com/books/1397093185s/17212231.jpg
242,13145,13145,3373984,122,446692638,9780446692630.0,James Patterson,1993.0,Along Came a Spider,"Along Came a Spider (Alex Cross, #1)",eng,4.08,311499,318031,3600,4281,10929,61630,118236,122955,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
243,10614,10614,3230869,197,450417395,9780450417400.0,Stephen King,1987.0,Misery,Misery,en-GB,4.11,334647,352203,6416,4302,12725,64835,128990,141351,https://images.gr-assets.com/books/1270545451m/10614.jpg,https://images.gr-assets.com/books/1270545451s/10614.jpg
244,66559,18045891,3801,136,307341542,9780307341550.0,Gillian Flynn,2006.0,Sharp Objects,Sharp Objects,en-US,3.92,207889,354838,28268,4988,17566,81036,147558,103690,https://images.gr-assets.com/books/1423241485m/66559.jpg,https://images.gr-assets.com/books/1423241485s/66559.jpg
253,16160797,16160797,22002305,48,316206849,9780316206850.0,"Robert Galbraith, J.K. Rowling",2013.0,The Cuckoo's Calling,"The Cuckoo's Calling (Cormoran Strike, #1)",en-US,3.83,297712,340495,27258,9729,20151,79290,138955,92370,https://images.gr-assets.com/books/1358716559m/16160797.jpg,https://images.gr-assets.com/books/1358716559s/16160797.jpg
258,1232,1232,3209783,279,143034901,9780143034900.0,"Carlos Ruiz Zafón, Lucia Graves",2001.0,La sombra del viento,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",eng,4.24,263685,317554,24652,4789,11769,42214,101612,157170,https://images.gr-assets.com/books/1344545047m/1232.jpg,https://images.gr-assets.com/books/1344545047s/1232.jpg
262,19486412,19486412,27570886,107,399167064,9780399167060.0,Liane Moriarty,2014.0,Big Little Lies,Big Little Lies,eng,4.2,306186,371433,30120,3775,7865,49115,159494,151184,https://images.gr-assets.com/books/1492239430m/19486412.jpg,https://images.gr-assets.com/books/1492239430s/19486412.jpg
266,13148,13148,881425,111,446677388,9780446677390.0,James Patterson,1995.0,Kiss the Girls,"Kiss the Girls (Alex Cross, #2)",eng,3.93,274639,279116,2798,10518,14558,58296,95980,99764,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
270,12873,17899948,46663,306,1844080382,9781844080380.0,"Daphne du Maurier, Sally Beauman",1938.0,Rebecca,Rebecca,en-US,4.2,177384,329596,14920,4565,10900,49263,112768,152100,https://images.gr-assets.com/books/1327871977m/12873.jpg,https://images.gr-assets.com/books/1327871977s/12873.jpg
281,32499,32499,490324,145,385339704,9780385339700.0,John Grisham,1992.0,The Pelican Brief,The Pelican Brief,eng,3.95,288376,296168,2006,2362,12423,73587,116438,91358,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
288,19691,19691,1112006,117,425172902,9780425172900.0,Tom Clancy,1984.0,The Hunt for Red October,"The Hunt for Red October (Jack Ryan Universe, #4)",,4.01,270318,278255,2117,9470,13707,49906,95296,109876,https://images.gr-assets.com/books/1281995542m/19691.jpg,https://images.gr-assets.com/books/1281995542s/19691.jpg
336,13137,13137,1711194,107,446696617,9780446696620.0,James Patterson,2001.0,1st To Die,"1st to Die (Women's Murder Club, #1)",en-US,4.05,233984,242428,5039,4464,10087,48616,83796,95465,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
342,13497818,13497818,19926990,139,316228532,9780316228530.0,J.K. Rowling,2012.0,The Casual Vacancy,The Casual Vacancy,eng,3.28,231835,254461,28751,24583,38326,74611,75741,41200,https://images.gr-assets.com/books/1358266832m/13497818.jpg,https://images.gr-assets.com/books/1358266832s/13497818.jpg
343,24192,24192,1022176,120,385339690,9780385339700.0,John Grisham,1996.0,The Runaway Jury,The Runaway Jury,eng,3.96,222712,226861,1700,1613,8950,56426,90284,69588,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
348,16143347,16143347,21975829,77,,,E. Lockhart,2014.0,We Were Liars,We Were Liars,eng,3.85,273442,298780,36910,9074,22616,68468,102385,96237,https://images.gr-assets.com/books/1402749479m/16143347.jpg,https://images.gr-assets.com/books/1402749479s/16143347.jpg
367,14995,14995,4574034,82,553384287,9780553384280.0,Dean Koontz,2003.0,Odd Thomas,"Odd Thomas (Odd Thomas, #1)",eng,3.94,205986,213895,6357,10963,12869,39433,65984,84646,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
402,391729,391729,1383053,12,553212281,9780553212280.0,Edgar Allan Poe,1843.0,The Tell-Tale Heart,The Tell-Tale Heart and Other Writings,en-GB,4.15,195689,197636,1050,2456,6438,33803,70786,84153,https://images.gr-assets.com/books/1327936583m/391729.jpg,https://images.gr-assets.com/books/1327936583s/391729.jpg
404,11367726,11367726,16298550,76,385344228,9780385344230.0,William Landay,2012.0,Defending Jacob,Defending Jacob,eng,3.97,182025,202066,17681,2777,8608,42024,87107,61550,https://images.gr-assets.com/books/1329612158m/11367726.jpg,https://images.gr-assets.com/books/1329612158s/11367726.jpg
417,40440,40440,849453,137,743298020,9780743298020.0,Diane Setterfield,2006.0,The Thirteenth Tale,The Thirteenth Tale,eng,3.95,213200,228602,19432,4510,12847,49274,85569,76402,https://images.gr-assets.com/books/1346267826m/40440.jpg,https://images.gr-assets.com/books/1346267826s/40440.jpg
424,119073,119073,3138328,428,156001314,9780156001310.0,"Umberto Eco, William Weaver, Seán Barrett",1980.0,Il nome della rosa,The Name of the Rose,en-US,4.11,200217,224974,6075,4575,10031,36282,79311,94775,https://images.gr-assets.com/books/1415375471m/119073.jpg,https://images.gr-assets.com/books/1415375471s/119073.jpg
431,28877,28877,925503,191,525945563,9780525945570.0,Thomas Harris,1981.0,Red Dragon,"Red Dragon (Hannibal Lecter, #1)",eng,4.01,194013,205433,3309,3012,7790,43235,80662,70734,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
438,6469165,6469165,6659752,68,141043768,9780141043760.0,Liane Moriarty,2009.0,What Alice Forgot,What Alice Forgot,eng,4.05,165704,205778,17382,1599,6071,38562,93941,65605,https://images.gr-assets.com/books/1377159022m/6469165.jpg,https://images.gr-assets.com/books/1377159022s/6469165.jpg
445,9736930,9736930,14625976,150,62060554,9780062060560.0,S.J. Watson,2011.0,Before I Go to Sleep,Before I Go to Sleep,en-CA,3.87,180896,213136,19206,3703,12436,51695,84940,60362,https://images.gr-assets.com/books/1358353512m/9736930.jpg,https://images.gr-assets.com/books/1358353512s/9736930.jpg
446,102868,102868,1997473,1106,1420925539,9781420925530.0,Arthur Conan Doyle,1887.0,A Study in Scarlet,A Study in Scarlet,eng,4.15,201499,220115,6954,2318,5550,38107,85345,88795,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
457,10692,10692,3061272,129,751537284,9780751537280.0,Elizabeth Kostova,2005.0,The Historian,The Historian,eng,3.77,190473,207529,14252,8554,18768,48197,68781,63229,https://images.gr-assets.com/books/1338298031m/10692.jpg,https://images.gr-assets.com/books/1338298031s/10692.jpg
473,237209,237209,3088141,78,670038601,9780670038600.0,Tana French,2007.0,In the Woods,"In the Woods (Dublin Murder Squad, #1)",eng,3.74,188024,201721,15392,6553,15636,51430,77182,50920,https://images.gr-assets.com/books/1348442606m/237209.jpg,https://images.gr-assets.com/books/1348442606s/237209.jpg
477,78129,78129,4511038,127,515141429,9780515141430.0,Lee Child,1997.0,Killing Floor,"Killing Floor (Jack Reacher, #1)",eng,4.04,162972,182703,8032,2652,7160,35471,71953,65467,https://images.gr-assets.com/books/1399313258m/78129.jpg,https://images.gr-assets.com/books/1399313258s/78129.jpg
487,7670,7670,997271,122,60541814,9780060541810.0,Michael Crichton,1969.0,The Andromeda Strain,The Andromeda Strain,,3.87,173186,178917,2555,1599,9379,48894,69876,49169,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
488,11566,11566,15599,162,451933028,9780451933030.0,Stephen King,1996.0,The Green Mile,The Green Mile,eng,4.42,173950,191109,4873,725,3044,19770,59813,107757,https://images.gr-assets.com/books/1373903563m/11566.jpg,https://images.gr-assets.com/books/1373903563s/11566.jpg
494,29044,29044,221359,141,1400031702,9781400031700.0,Donna Tartt,1992.0,The Secret History,The Secret History,eng,4.07,168405,189596,13324,3685,9750,32410,66858,76893,https://images.gr-assets.com/books/1451554846m/29044.jpg,https://images.gr-assets.com/books/1451554846s/29044.jpg
501,7061,7061,826298,108,1400034779,9781400034770.0,Alexander McCall Smith,1998.0,The No. 1 Ladies' Detective Agency ,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",eng,3.75,180320,189258,9369,6389,14860,49558,66723,51728,https://images.gr-assets.com/books/1459953654m/7061.jpg,https://images.gr-assets.com/books/1459953654s/7061.jpg
511,6534,6534,1045067,129,743477154,9780743477150.0,Patricia Cornwell,1990.0,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,"Postmortem (Kay Scarpetta, #1)",eng,4.01,167379,173045,2261,2760,6662,37396,66098,60129,https://images.gr-assets.com/books/1341835831m/6534.jpg,https://images.gr-assets.com/books/1341835831s/6534.jpg
514,3590,3590,1222101,1235,192835084,9780192835090.0,Arthur Conan Doyle,1892.0,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,eng,4.29,139816,184991,4922,864,3047,24897,68111,88072,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
521,79885,79885,1427801,123,739465511,9780739465520.0,Michael Connelly,2005.0,The Lincoln Lawyer ,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",eng,4.14,149438,160724,4757,1136,3767,27768,67204,60849,https://images.gr-assets.com/books/1370140049m/79885.jpg,https://images.gr-assets.com/books/1370140049s/79885.jpg
526,17231,17231,2113743,95,307277887,9780307277890.0,Jeff Lindsay,2004.0,Darkly Dreaming Dexter,"Darkly Dreaming Dexter (Dexter, #1)",eng,3.89,150055,157862,5656,4689,10180,35941,53459,53593,https://images.gr-assets.com/books/1334404607m/17231.jpg,https://images.gr-assets.com/books/1334404607s/17231.jpg
527,110494,110494,738775,97,1841493007,9781841493010.0,Charlaine Harris,2002.0,Living Dead in Dallas,"Living Dead in Dallas (Sookie Stackhouse, #2)",eng,3.97,190565,209338,6388,1576,8771,50217,81598,67176,https://images.gr-assets.com/books/1329501808m/110494.jpg,https://images.gr-assets.com/books/1329501808s/110494.jpg
538,386187,386187,300461,76,679751521,9780679751530.0,John Berendt,1994.0,Midnight in the Garden of Good and Evil,Midnight in the Garden of Good and Evil,eng,3.9,167997,175681,6635,2332,9145,42827,70546,50831,https://images.gr-assets.com/books/1427166915m/386187.jpg,https://images.gr-assets.com/books/1427166915s/386187.jpg
548,162085,162085,2191061,75,60887303,9780060887310.0,Sara Shepard,2006.0,Pretty Little Liars,"Pretty Little Liars (Pretty Little Liars, #1)",en-US,3.9,156328,165836,8160,5743,12397,37519,47724,62453,https://images.gr-assets.com/books/1377830522m/162085.jpg,https://images.gr-assets.com/books/1377830522s/162085.jpg
563,140082,140082,602144,90,1841493015,9781841493020.0,Charlaine Harris,2003.0,Club Dead,"Club Dead (Sookie Stackhouse, #3)",en-GB,4.03,181323,197558,5029,1179,6594,44594,78129,67062,https://images.gr-assets.com/books/1329501590m/140082.jpg,https://images.gr-assets.com/books/1329501590s/140082.jpg
575,7669,7669,1525987,124,99244721,9780099244720.0,Michael Crichton,1999.0,Timeline,Timeline,en-US,3.83,148563,158413,3628,2738,11205,41822,57567,45081,https://images.gr-assets.com/books/1405420745m/7669.jpg,https://images.gr-assets.com/books/1405420745s/7669.jpg
588,15769,15769,2508588,101,752863886,9780752863890.0,Robert Ludlum,1986.0,The Bourne Supremacy,"The Bourne Supremacy (Jason Bourne, #2)",en-US,4.09,142168,145806,1010,1623,4638,27003,57766,54776,https://images.gr-assets.com/books/1335860600m/15769.jpg,https://images.gr-assets.com/books/1335860600s/15769.jpg
596,5349,5349,3154548,117,385339607,9780385339600.0,John Grisham,1995.0,The Rainmaker,The Rainmaker,eng,3.91,137412,142791,1518,986,6288,38331,55983,41203,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
613,3407877,3407877,3448086,119,330449605,9780330449600.0,Kate Morton,2008.0,The Forgotten Garden,The Forgotten Garden,en-GB,4.12,138377,157088,15953,1501,5098,26557,63709,60223,https://images.gr-assets.com/books/1455283767m/3407877.jpg,https://images.gr-assets.com/books/1455283767s/3407877.jpg
618,8921,8921,3311984,1717,451528018,9780451528020.0,"Arthur Conan Doyle, Anne Perry",1902.0,The Hound of the Baskervilles,The Hound of the Baskervilles,eng,4.09,154517,178563,5421,1098,5204,35369,71857,65035,https://images.gr-assets.com/books/1355929358m/8921.jpg,https://images.gr-assets.com/books/1355929358s/8921.jpg
623,18775247,18775247,26680281,111,1476754454,9781476754450.0,Stephen King,2014.0,Mr. Mercedes,"Mr. Mercedes (Bill Hodges Trilogy, #1)",eng,3.92,125847,148491,12447,3242,7332,32479,60965,44473,https://images.gr-assets.com/books/1468705326m/18775247.jpg,https://images.gr-assets.com/books/1468705326s/18775247.jpg
625,5166,5166,3221872,39,375706771,9780375706780.0,Chris Bohjalian,1997.0,Midwives,Midwives,en-US,3.97,133155,135534,3830,1317,5372,30829,57029,40987,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
628,32682,32682,5054702,88,425134350,9780425134350.0,Tom Clancy,1987.0,Patriot Games,"Patriot Games (Jack Ryan Universe, #2)",eng,4.11,141674,146201,939,1351,3943,27548,58440,54919,https://images.gr-assets.com/books/1328007145m/32682.jpg,https://images.gr-assets.com/books/1328007145s/32682.jpg
640,83763,83763,1258566,113,61015725,9780061015720.0,Michael Crichton,2002.0,Prey,Prey,,3.72,131352,136307,2700,2481,11391,40947,48338,33150,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
652,140079,140079,1174101,75,441014917,9780441014910.0,Charlaine Harris,2006.0,"Definitely Dead (Sookie Stackhouse, #6)","Definitely Dead (Sookie Stackhouse, #6)",en-US,4.02,163054,172955,3669,1028,6116,40058,66966,58787,https://images.gr-assets.com/books/1468562748m/140079.jpg,https://images.gr-assets.com/books/1468562748s/140079.jpg
660,7672,7672,688299,83,60541830,9780060541840.0,Michael Crichton,1980.0,Congo,Congo,eng,3.55,129811,134422,1587,2910,13893,48006,45059,24554,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
668,18693763,18693763,26542311,62,159420571X,9781594205710.0,Celeste Ng,2014.0,Everything I Never Told You,Everything I Never Told You,eng,3.78,108703,134550,15177,2352,8110,36543,57858,29687,https://images.gr-assets.com/books/1386795198m/18693763.jpg,https://images.gr-assets.com/books/1386795198s/18693763.jpg
671,16343,16343,3366260,876,646418432,9780646418440.0,"Agatha Christie, Ροζίτα Σώκου",1920.0,The Mysterious Affair at Styles,"The Mysterious Affair at Styles (Hercule Poirot, #1)",eng,3.98,135514,148617,3826,3132,5501,33269,55831,50884,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
672,16304,853510,2285570,429,425200450,9780425200450.0,Agatha Christie,1934.0,Murder in the Calais Coach,"Murder on the Orient Express (Hercule Poirot, #10)",eng,4.16,138444,173662,8713,706,4027,30417,70825,67687,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
693,455373,455373,2651694,122,345418972,9780345418980.0,Michael Crichton,1987.0,Sphere,Sphere,eng,3.77,128244,135005,2313,1851,9728,40085,49513,33828,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
695,18214414,18214414,25639104,109,316206873,9780316206880.0,"Robert Galbraith, J.K. Rowling",2014.0,The Silkworm,"The Silkworm (Cormoran Strike, #2)",eng,4.03,120008,145146,13549,1330,4361,27130,67680,44645,https://images.gr-assets.com/books/1392577290m/18214414.jpg,https://images.gr-assets.com/books/1392577290s/18214414.jpg
703,10589,10589,3254516,134,067102423X,9780671024240.0,Stephen King,1998.0,Bag of Bones,Bag of Bones,en-US,3.87,131004,137867,3087,2377,9330,35689,46716,43755,https://images.gr-assets.com/books/1365592796m/10589.jpg,https://images.gr-assets.com/books/1365592796s/10589.jpg
726,2373,2373,2589896,109,451188454,9780451188460.0,Jeffery Deaver,1997.0,The Bone Collector,"The Bone Collector (Lincoln Rhyme, #1)",en-US,4.18,120541,125250,1785,1165,3101,20494,47836,52654,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
768,21686,21686,1234227,134,038073186X,9780380731860.0,Dennis Lehane,2003.0,Shutter Island,Shutter Island,eng,4.07,113718,124032,6990,1636,4727,22089,49875,45705,https://images.gr-assets.com/books/1329269081m/21686.jpg,https://images.gr-assets.com/books/1329269081s/21686.jpg
769,188572,188572,7492217,301,553328255,9780553328260.0,Arthur Conan Doyle,1894.0,The Complete Sherlock Holmes,The Complete Sherlock Holmes,eng,4.5,109754,126558,2774,471,1125,10089,37928,76945,https://images.gr-assets.com/books/1465539139m/188572.jpg,https://images.gr-assets.com/books/1465539139s/188572.jpg
785,32669,32669,5054704,91,425144372,9780425144370.0,Tom Clancy,1989.0,Clear and Present Danger,"Clear and Present Danger (Jack Ryan Universe, #6)",eng,4.08,105317,108638,574,973,3064,21463,44290,38848,https://images.gr-assets.com/books/1291440438m/32669.jpg,https://images.gr-assets.com/books/1291440438s/32669.jpg
791,6614960,6614960,6809039,7,743296435,9780743296430.0,Jodi Picoult,2010.0,House Rules,House Rules,en-US,4.01,111239,119767,9871,1155,5434,25143,47540,40495,https://images.gr-assets.com/books/1290479868m/6614960.jpg,https://images.gr-assets.com/books/1290479868s/6614960.jpg
799,32423,32423,2200683,99,,9780425188800.0,Dean Koontz,1987.0,Watchers,Watchers,,4.16,109595,113984,2687,1253,3766,20833,38155,49977,https://images.gr-assets.com/books/1308458930m/32423.jpg,https://images.gr-assets.com/books/1308458930s/32423.jpg
